orcid,predicted_faculties,prediction_confidence
0000-0001-8357-6387,med,1
0000-0001-8358-4053,sowi,0.95
0000-0001-8366-9719,mint,0.95
0000-0001-8376-891X,mint,1
0000-0001-8376-8987,sowi,0.95
0000-0001-8377-4252,mint,1
0000-0001-8378-0716,mint,0.95
0000-0001-8385-2839,sowi,0.95
0000-0001-8385-6573,sowi,0.95
0000-0001-8391-3988,med,1
0000-0001-8394-4215,sowi,0.95
0000-0001-8401-7771,sowi,0.95
0000-0001-8405-170X,mint,1
0000-0001-8408-2274,med,0.9
0000-0001-8409-3918,med,1
0000-0001-8409-6027,mint,0.95
0000-0001-8413-7773,agrar,0.95
0000-0001-8417-702X,mint,0.95
0000-0001-8423-010X,mint,0.95
0000-0001-8424-9898,mint,1
0000-0001-8431-7037,sowi,0.95
0000-0001-8435-7493,sowi,0.95
0000-0001-8437-3039,mint,0.95
0000-0001-8444-8440,mint,0.95
0000-0001-8448-5663,sowi,0.95
0000-0001-8454-7238,agrar,1
0000-0001-8461-3485,mint,0.95
0000-0001-8464-5671,sowi,0.95
0000-0001-8465-3954,sowi,0.95
0000-0001-8491-7227,sowi,0.95
0000-0001-8510-1780,mint,1
0000-0001-8513-059X,tech,0.95
0000-0001-8513-550X,med,1
0000-0001-8514-1395,med,1
0000-0001-8520-5918,med,1
0000-0001-8528-9023,mint,0.95
0000-0001-8532-7632,med,1
0000-0001-8533-7478,med,1
0000-0001-8540-3789,med,1
0000-0001-8540-5928,med,0.95
0000-0001-8545-7576,mint,1
0000-0001-8546-3319,mint,1
0000-0001-8548-8268,tech,1
0000-0001-8557-9442,mint,1
0000-0001-8560-9015,mint,1
0000-0001-8561-9037,med,1
0000-0001-8563-0324,agrar,0.95
0000-0001-8566-5447,mint,0.95
0000-0001-8573-4588,med,1
0000-0001-8573-5898,tech,1
0000-0001-8581-1432,med,1
0000-0001-8583-3738,mint,0.95
0000-0001-8584-4779,sowi,0.95
0000-0001-8586-8025,mint,1
0000-0001-8587-4177,mint,1
0000-0001-8587-4433,med,1
0000-0001-8589-1428,agrar,0.95
0000-0001-8591-0529,mint,0.95
0000-0001-8591-9339,med,1
0000-0001-8595-7597,med,1
0000-0001-8601-0143,med,1
0000-0001-8603-6714,med,0.95
0000-0001-8607-4606,med,1
0000-0001-8608-1398,sowi,0.95
0000-0001-8611-1665,med,0.95
0000-0001-8619-7120,tech,0.95
0000-0001-8621-1957,med,1
0000-0001-8624-1195,med,1
0000-0001-8626-1647,sowi,0.95
0000-0001-8626-2148,med,1
0000-0001-8627-8991,phil,0.95
0000-0001-8633-1908,mint,1
0000-0001-8636-9009,agrar,1
0000-0001-8641-2951,sowi,1
0000-0001-8641-8149,mint,0.95
0000-0001-8647-0342,med,1
0000-0001-8649-2963,phil,1
0000-0001-8652-8874,sowi,0.95
0000-0001-8653-0448,mint,1
0000-0001-8663-1468,mint,0.95
0000-0001-8675-0758,mint,1
0000-0001-8694-5811,agrar,1
0000-0001-8703-3857,mint,1
0000-0001-8704-4206,sowi,0.95
0000-0001-8711-2395,mint,0.95
0000-0001-8713-7453,sowi,0.95
0000-0001-8716-2341,mint,0.9
0000-0001-8718-6300,sowi,0.95
0000-0001-8722-1233,med,1
0000-0001-8737-3536,sowi,0.95
0000-0001-8741-4799,mint,1
0000-0001-8752-930X,mint,1
0000-0001-8756-8181,sowi,0.95
0000-0001-8758-7913,mint,1
0000-0001-8761-9719,sowi,1
0000-0001-8764-8763,phil,1
0000-0001-8765-3976,mint,1
0000-0001-8770-0859,med,1
0000-0001-8770-6919,mint,1
0000-0001-8775-8567,phil,0.95
0000-0001-8788-3368,med,1
0000-0001-8789-0728,mint,1
0000-0001-8789-3187,med,0.95
0000-0001-8796-3229,mint,0.95
0000-0001-8800-5460,med,1
0000-0001-8802-7934,agrar,0.95
0000-0001-8810-1049,mint,1
0000-0001-8811-5416,med,1
0000-0001-8824-1244,med,1
0000-0001-8826-3558,mint,0.95
0000-0001-8827-7191,med,0.95
0000-0001-8831-7894,med,1
0000-0001-8833-9567,sowi,0.95
0000-0001-8839-1189,mint,0.95
0000-0001-8847-0266,mint,0.95
0000-0001-8850-2977,med,1
0000-0001-8853-8064,agrar,0.95
0000-0001-8856-3462,mint,1
0000-0001-8859-3573,med,1
0000-0001-8868-4379,med,1
0000-0001-8870-6494,med,1
0000-0001-8871-9834,agrar,1
0000-0001-8873-0806,sowi,1
0000-0001-8873-425X,sowi,1
0000-0001-8876-0159,med,1
0000-0001-8882-4108,mint,1
0000-0001-8892-8679,mint,1
0000-0001-8898-9949,mint,0.95
0000-0001-8902-1956,med,1
0000-0001-8904-0372,sowi,0.95
0000-0001-8906-8498,mint,1
0000-0001-8907-1582,med,1
0000-0001-8910-2887,phil,0.95
0000-0001-8915-4134,med,1
0000-0001-8915-8397,sowi,1
0000-0001-8919-1971,med,1
0000-0001-8920-0858,phil,0.95
0000-0001-8929-7880,tech,0.95
0000-0001-8932-7031,mint,0.95
0000-0001-8935-8612,mint,1
0000-0001-8937-1198,med,1
0000-0001-8946-6082,sowi,0.95
0000-0001-8951-1517,mint,0.95
0000-0001-8953-4719,mint,1
0000-0001-8956-9874,med,0.95
0000-0001-8959-2695,phil,0.95
0000-0001-8961-6132,mint,1
0000-0001-8966-3115,mint,1
0000-0001-8975-5917,mint,0.95
0000-0001-8988-6431,agrar,1
0000-0001-8992-539X,mint,0.95
0000-0001-8996-978X,med,1
0000-0001-8999-8396,phil,0.95
0000-0001-9004-3386,phil,0.95
0000-0001-9005-5328,mint,1
0000-0001-9006-9463,mint,0.95
0000-0001-9010-5487,sowi,0.95
0000-0001-9013-1458,sowi,0.95
0000-0001-9013-4827,mint,1
0000-0001-9015-4545,phil,0.95
0000-0001-9020-4629,med,1
0000-0001-9020-8312,med,1
0000-0001-9023-2750,mint,1
0000-0001-9025-4079,mint,1
0000-0001-9030-2405,sowi,0.95
0000-0001-9038-5845,med,1
0000-0001-9050-8067,agrar,1
0000-0001-9054-1510,sowi,0.95
0000-0001-9055-7571,agrar,0.95
0000-0001-9056-7382,mint,1
0000-0001-9058-9178,med,1
0000-0001-9059-4719,sowi,0.95
0000-0001-9067-9325,sowi,0.95
0000-0001-9072-3621,med,1
0000-0001-9073-3918,mint,1
0000-0001-9080-5790,sowi,0.95
0000-0001-9084-7069,med,1
0000-0001-9085-7056,sowi,0.95
0000-0001-9094-0431,sowi,0.95
0000-0001-9099-996X,mint,1
0000-0001-9105-9179,med,0.95
0000-0001-9114-8411,mint,0.98
0000-0001-9119-6560,med,0.95
0000-0001-9132-3937,med,1
0000-0001-9138-2144,mint,0.95
0000-0001-9141-3895,mint,1
0000-0001-9142-1457,mint,0.95
0000-0001-9154-8706,mint,0.95
0000-0001-9155-9464,mint,0.95
0000-0001-9156-0158,sowi,0.95
0000-0001-9161-6342,mint,1
0000-0001-9180-0422,mint,0.95
0000-0001-9185-1609,sowi,0.95
0000-0001-9191-7612,phil,0.95
0000-0001-9201-8803,med,1
0000-0001-9208-4229,mint,1
0000-0001-9212-354X,mint,1
0000-0001-9215-7408,mint,1
0000-0001-9219-2529,sowi,0.95
0000-0001-9228-3770,mint,0.95
0000-0001-9234-6276,mint,0.95
0000-0001-9235-4399,mint,1
0000-0001-9242-7682,mint,0.95
0000-0001-9243-9050,med,1
0000-0001-9244-5602,agrar,0.95
0000-0001-9246-9671,agrar,0.95
0000-0001-9252-583X,sowi,0.5
0000-0001-9255-7911,med,0.95
0000-0001-9266-9673,med,1
0000-0001-9268-3555,sowi,0.95
0000-0001-9272-2518,phil,0.95
0000-0001-9278-5471,sowi,0.95
0000-0001-9282-6683,tech,1
0000-0001-9293-6778,mint,1
0000-0001-9296-017X,mint,0.95
0000-0001-9308-5776,mint,0.95
0000-0001-9316-4546,sowi,0.95
0000-0001-9325-8227,med,1
0000-0001-9327-7655,mint,1
0000-0001-9331-2991,mint,0.95
0000-0001-9335-0437,mint,0.95
0000-0001-9335-1093,mint,0.95
0000-0001-9337-0753,mint,0.95
0000-0001-9340-3703,mint,0.95
0000-0001-9347-0615,mint,0.95
0000-0001-9348-6182,agrar,1
0000-0001-9359-7181,mint,1
0000-0001-9365-0827,agrar,1
0000-0001-9365-7375,sowi,0.95
0000-0001-9374-1438,sowi,1
0000-0001-9374-8015,phil,0.95
0000-0001-9375-2276,mint,0.95
0000-0001-9375-5872,sowi,0.95
0000-0001-9382-9472,med,0.95
0000-0001-9390-7100,sowi,0.95
0000-0001-9392-1471,mint,1
0000-0001-9398-8027,mint,1
0000-0001-9399-7484,sowi,1
0000-0001-9404-3412,sowi,0.9
0000-0001-9404-3738,mint,1
0000-0001-9414-4555,med,1
0000-0001-9435-2872,mint,1
0000-0001-9435-3453,agrar,1
0000-0001-9440-3609,mint,1
0000-0001-9442-5664,agrar,0.95
0000-0001-9444-008X,mint,1
0000-0001-9444-4654,agrar,0.95
0000-0001-9450-3407,mint,0.95
0000-0001-9451-1108,agrar,1
0000-0001-9463-858X,sowi,0.95
0000-0001-9467-5815,med,1
0000-0001-9469-7053,mint,0.95
0000-0001-9478-8430,med,0.95
0000-0001-9482-4972,sowi,0.95
0000-0001-9487-2472,mint,0.95
0000-0001-9489-2385,sowi,0.95
0000-0001-9501-5114,sowi,1
0000-0001-9503-2280,sowi,0.95
0000-0001-9503-9714,mint,1
0000-0001-9506-0716,mint,1
0000-0001-9515-3322,mint,1
0000-0001-9516-9279,sowi,1
0000-0001-9518-0654,sowi,1
0000-0001-9518-1251,mint,1
0000-0001-9525-1424,med,1
0000-0001-9526-2668,NA,NA
0000-0001-9527-2946,mint,1
0000-0001-9527-5098,med,1
0000-0001-9529-8388,med,1
0000-0001-9531-6793,mint,0.95
0000-0001-9537-1901,phil,1
0000-0001-9539-5356,med,1
0000-0001-9550-5164,mint,0.95
0000-0001-9558-3883,med,1
0000-0001-9560-0057,mint,1
0000-0001-9560-5093,mint,1
0000-0001-9562-5529,med,1
0000-0001-9566-3699,sowi,0.95
0000-0001-9572-1908,sowi,0.95
0000-0001-9572-2185,sowi,1
0000-0001-9578-2583,sowi,0.95
0000-0001-9580-3196,sowi,0.95
0000-0001-9589-3136,phil,0.5
0000-0001-9601-6442,mint,0.95
0000-0001-9605-2822,med,1
0000-0001-9615-4167,mint,1
0000-0001-9616-5042,sowi,0.95
0000-0001-9616-5632,agrar,0.95
0000-0001-9628-4666,mint,1
0000-0001-9629-3984,sowi,1
0000-0001-9630-1243,mint,1
0000-0001-9634-9239,mint,0.95
0000-0001-9637-6536,mint,1
0000-0001-9643-9269,sowi,0.95
0000-0001-9652-1035,med,1
0000-0001-9660-4949,med,1
0000-0001-9667-0719,med,0.95
0000-0001-9671-3766,sowi,1
0000-0001-9679-5984,phil,0.95
0000-0001-9681-3265,mint,1
0000-0001-9694-5495,mint,1
0000-0001-9695-4527,sowi,0.95
0000-0001-9696-483X,sowi,0.95
0000-0001-9700-5841,mint,1
0000-0001-9708-4113,med,1
0000-0001-9710-8365,sowi,0.95
0000-0001-9712-7953,mint,0.95
0000-0001-9715-5399,mint,1
0000-0001-9719-5139,mint,0.95
0000-0001-9726-0885,mint,0.95
0000-0001-9726-603X,med,1
0000-0001-9734-8270,phil,0.95
0000-0001-9746-3869,mint,1
0000-0001-9768-7096,med,0.95
0000-0001-9775-333X,sowi,1
0000-0001-9780-7211,med,1
0000-0001-9781-4315,med,1
0000-0001-9786-8081,mint,1
0000-0001-9790-4708,sowi,0.95
0000-0001-9792-2770,mint,0.95
0000-0001-9799-212X,agrar,1
0000-0001-9807-462X,sowi,0.95
0000-0001-9807-4726,mint,1
0000-0001-9824-2603,phil,0.95
0000-0001-9828-0685,med,1
0000-0001-9828-1290,mint,1
0000-0001-9829-2897,med,1
0000-0001-9831-5876,sowi,0.95
0000-0001-9836-8716,mint,0.95
0000-0001-9838-4425,med,1
0000-0001-9840-780X,mint,1
0000-0001-9841-6386,sowi,0.95
0000-0001-9843-2124,med,0.95
0000-0001-9843-2263,med,1
0000-0001-9845-2555,sowi,0.95
0000-0001-9847-130X,med,0.95
0000-0001-9851-0575,sowi,0.85
0000-0001-9854-0635,sowi,0.95
0000-0001-9857-9900,mint,1
0000-0001-9863-2070,med,1
0000-0001-9864-3378,agrar,0.95
0000-0001-9864-3394,med,1
0000-0001-9871-2687,mint,0.95
0000-0001-9874-4793,mint,0.95
0000-0001-9879-7414,phil,0.95
0000-0001-9884-0363,mint,1
0000-0001-9888-2694,phil,0.85
0000-0001-9888-7292,mint,0.95
0000-0001-9894-2167,sowi,0.95
0000-0001-9897-1769,med,1
0000-0001-9899-3757,mint,0.98
0000-0001-9904-5070,med,1
0000-0001-9913-3206,tech,0.95
0000-0001-9917-8068,sowi,1
0000-0001-9919-4551,med,0.95
0000-0001-9921-7397,mint,1
0000-0001-9922-1863,sowi,0.95
0000-0001-9944-0775,mint,1
0000-0001-9947-4377,mint,1
0000-0001-9947-8722,sowi,0.95
0000-0001-9953-4528,med,1
0000-0001-9958-180X,mint,1
0000-0001-9959-9292,med,1
0000-0001-9965-6891,sowi,0.95
0000-0001-9966-1738,sowi,0.95
0000-0001-9974-8091,med,1
0000-0001-9976-4948,mint,1
0000-0001-9982-9801,agrar,1
0000-0001-9986-288X,med,1
0000-0001-9998-6065,phil,0.95
0000-0002-0003-0512,mint,1
0000-0002-0007-4873,sowi,1
0000-0002-0010-151X,mint,1
0000-0002-0010-4403,mint,1
0000-0002-0011-7837,med,0.95
0000-0002-0019-6301,agrar,0.95
0000-0002-0026-8133,sowi,0.95
0000-0002-0030-3840,sowi,1
0000-0002-0045-0242,mint,0.95
0000-0002-0046-7263,agrar,0.95
0000-0002-0054-7394,med,0.95
0000-0002-0056-7651,mint,1
0000-0002-0060-4141,mint,0.95
0000-0002-0061-5318,phil,0.95
0000-0002-0062-2753,med,1
0000-0002-0063-0198,sowi,0.95
0000-0002-0064-9112,mint,1
0000-0002-0067-7199,sowi,1
0000-0002-0070-3772,sowi,0.95
0000-0002-0072-336X,mint,1
0000-0002-0073-3322,sowi,1
0000-0002-0073-6689,med,1
0000-0002-0075-7199,med,1
0000-0002-0087-4053,mint,0.95
0000-0002-0094-6037,med,0.95
0000-0002-0106-7026,agrar,1
0000-0002-0108-2998,tech,0.95
0000-0002-0110-5512,med,0.95
0000-0002-0113-3265,med,1
0000-0002-0114-9750,sowi,0.95
0000-0002-0116-255X,med,1
0000-0002-0119-7365,med,1
0000-0002-0119-9440,agrar,0.95
0000-0002-0131-1404,mint,1
0000-0002-0135-1983,mint,1
0000-0002-0137-1984,mint,0.95
0000-0002-0138-7548,sowi,0.95
0000-0002-0143-8106,med,1
0000-0002-0145-1589,med,1
0000-0002-0150-4732,med,1
0000-0002-0151-4228,mint,0.95
0000-0002-0154-6844,sowi,1
0000-0002-0166-4381,med,1
0000-0002-0174-3901,mint,0.95
0000-0002-0176-7989,med,1
0000-0002-0181-1388,med,1
0000-0002-0187-2703,med,1
0000-0002-0188-2020,sowi,0.95
0000-0002-0188-5504,mint,1
0000-0002-0188-9492,mint,1
0000-0002-0206-8987,mint,0.95
0000-0002-0211-7136,tech,0.95
0000-0002-0212-7596,agrar,0.95
0000-0002-0219-5345,sowi,0.95
0000-0002-0221-2125,mint,0.95
0000-0002-0222-3641,mint,1
0000-0002-0224-1866,med,1
0000-0002-0228-5551,mint,1
0000-0002-0228-9173,phil,0.95
0000-0002-0230-912X,sowi,1
0000-0002-0235-6866,agrar,1
0000-0002-0247-4643,med,1
0000-0002-0247-5208,mint,0.95
0000-0002-0252-468X,mint,0.95
0000-0002-0253-2639,mint,1
0000-0002-0259-0986,tech,0.95
0000-0002-0267-0716,phil,1
0000-0002-0269-5059,sowi,0.95
0000-0002-0276-9820,med,1
0000-0002-0277-5067,med,1
0000-0002-0281-9568,sowi,0.95
0000-0002-0282-0462,med,1
0000-0002-0286-0720,sowi,0.95
0000-0002-0288-5872,med,1
0000-0002-0294-0210,mint,0.95
0000-0002-0297-5974,mint,1
0000-0002-0304-7977,med,1
0000-0002-0311-9707,mint,1
0000-0002-0313-2557,mint,1
0000-0002-0329-9138,mint,1
0000-0002-0330-0004,sowi,0.95
0000-0002-0330-1170,mint,1
0000-0002-0331-5185,mint,0.95
0000-0002-0331-8781,med,1
0000-0002-0332-4022,sowi,0.95
0000-0002-0335-8580,mint,1
0000-0002-0339-7352,mint,1
0000-0002-0347-1700,sowi,0.95
0000-0002-0347-7838,mint,1
0000-0002-0352-2547,mint,0.95
0000-0002-0356-0578,jura,1
0000-0002-0373-8866,phil,0.95
0000-0002-0374-5847,tech,1
0000-0002-0378-9698,med,1
0000-0002-0390-5281,med,1
0000-0002-0399-8043,med,1
0000-0002-0401-2282,mint,1
0000-0002-0401-5520,mint,0.95
0000-0002-0403-3059,mint,1
0000-0002-0406-5958,med,1
0000-0002-0408-872X,mint,0.95
0000-0002-0413-1599,med,1
0000-0002-0419-6720,med,1
0000-0002-0423-4926,mint,0.9
0000-0002-0430-8331,sowi,0.95
0000-0002-0433-4484,mint,0.95
0000-0002-0435-1153,sowi,0.9
0000-0002-0440-3136,sowi,0.9
0000-0002-0444-5889,sowi,0.95
0000-0002-0445-8102,med,1
0000-0002-0448-2225,med,1
0000-0002-0461-331X,med,1
0000-0002-0466-4707,mint,1
0000-0002-0470-9047,sowi,0.95
0000-0002-0472-4183,mint,1
0000-0002-0475-8578,sowi,1
0000-0002-0476-3887,tech,0.95
0000-0002-0484-541X,mint,0.95
0000-0002-0485-261X,sowi,1
0000-0002-0499-2460,med,1
0000-0002-0502-2351,sowi,0.95
0000-0002-0505-2091,mint,1
0000-0002-0510-7347,med,1
0000-0002-0522-464X,sowi,0.95
0000-0002-0537-228X,med,1
0000-0002-0554-1442,med,1
0000-0002-0559-1941,mint,0.95
0000-0002-0560-305X,mint,1
0000-0002-0561-9617,mint,1
0000-0002-0565-7840,med,1
0000-0002-0569-7316,med,1
0000-0002-0573-0999,phil,0.95
0000-0002-0593-5564,mint,0.95
0000-0002-0595-5899,sowi,0.95
0000-0002-0596-3485,agrar,1
0000-0002-0597-9989,mint,0.95
0000-0002-0598-5254,med,1
0000-0002-0606-5804,med,1
0000-0002-0608-6971,mint,0.95
0000-0002-0625-9270,sowi,0.95
0000-0002-0638-2658,sowi,0.95
0000-0002-0645-0825,med,1
0000-0002-0645-3399,mint,0.95
0000-0002-0647-8131,mint,0.95
0000-0002-0655-2119,med,1
0000-0002-0655-654X,agrar,0.95
0000-0002-0655-9265,mint,0.95
0000-0002-0656-6991,mint,1
0000-0002-0658-7688,agrar,0.95
0000-0002-0664-5577,mint,1
0000-0002-0665-3833,sowi,1
0000-0002-0675-6066,mint,0.95
0000-0002-0676-5624,med,1
0000-0002-0678-1341,med,1
0000-0002-0682-3222,med,1
0000-0002-0682-9819,med,0.95
0000-0002-0684-9959,med,1
0000-0002-0685-8564,med,1
0000-0002-0687-2227,sowi,0.95
0000-0002-0690-6431,med,1
0000-0002-0693-4141,mint,1
0000-0002-0694-5131,jura,1
0000-0002-0695-4097,mint,0.95
0000-0002-0696-1473,rewi,1
0000-0002-0717-5386,mint,0.95
0000-0002-0717-6186,mint,1
0000-0002-0718-2332,med,1
0000-0002-0719-101X,med,1
0000-0002-0721-9027,med,1
0000-0002-0726-4610,agrar,0.95
0000-0002-0738-2924,med,0.95
0000-0002-0738-4233,mint,1
0000-0002-0739-2778,mint,1
0000-0002-0739-9291,mint,0.98
0000-0002-0741-3671,sowi,0.95
0000-0002-0744-091X,med,1
0000-0002-0749-829X,mint,0.95
0000-0002-0750-0978,NA,NA
0000-0002-0756-1471,mint,0.95
0000-0002-0756-260X,sowi,1
0000-0002-0761-0069,sowi,0.95
0000-0002-0761-3657,mint,1
0000-0002-0765-2808,mint,1
0000-0002-0765-6411,sowi,0.95
0000-0002-0766-2926,tech,0.95
0000-0002-0769-1110,mint,1
0000-0002-0775-8725,mint,1
0000-0002-0776-4017,mint,0.95
0000-0002-0782-012X,mint,1
0000-0002-0784-1262,med,1
0000-0002-0784-3807,sowi,1
0000-0002-0790-1763,phil,1
0000-0002-0793-7686,mint,1
0000-0002-0801-498X,sowi,0.95
0000-0002-0812-7044,med,1
0000-0002-0816-9930,mint,0.95
0000-0002-0817-9370,med,1
0000-0002-0818-2684,tech,1
0000-0002-0835-9603,sowi,0.95
0000-0002-0837-3456,mint,0.95
0000-0002-0842-0152,mint,0.95
0000-0002-0844-2669,phil,0.95
0000-0002-0844-834X,mint,1
0000-0002-0845-2453,med,1
0000-0002-0846-7372,mint,1
0000-0002-0849-141X,mint,0.95
0000-0002-0851-6330,med,1
0000-0002-0858-8705,med,1
0000-0002-0861-9380,sowi,0.95
0000-0002-0867-1859,mint,1
0000-0002-0881-3589,sowi,0.95
0000-0002-0884-8124,med,0.95
0000-0002-0885-1542,phil,1
0000-0002-0886-4319,sowi,0.95
0000-0002-0891-1154,mint,1
0000-0002-0891-2501,sowi,0.95
0000-0002-0900-5188,mint,1
0000-0002-0922-6212,mint,0.95
0000-0002-0925-2170,mint,1
0000-0002-0931-8707,mint,1
0000-0002-0942-7217,med,1
0000-0002-0944-5095,phil,0.95
0000-0002-0945-0724,med,1
0000-0002-0947-1197,mint,0.95
0000-0002-0948-4991,mint,1
0000-0002-0948-6698,med,1
0000-0002-0957-4954,mint,1
0000-0002-0959-3653,med,1
0000-0002-0967-6811,sowi,0.9
0000-0002-0970-0260,sowi,0.95
0000-0002-0975-0831,med,1
0000-0002-0998-4881,med,1
0000-0002-1002-9216,agrar,1
0000-0002-1011-1113,phil,0.95
0000-0002-1013-1499,sowi,0.95
0000-0002-1022-9816,mint,1
0000-0002-1027-5222,sowi,0.95
0000-0002-1037-3850,med,0.95
0000-0002-1037-7544,mint,0.95
0000-0002-1038-6248,mint,1
0000-0002-1038-7478,med,1
0000-0002-1042-1955,mint,1
0000-0002-1045-8758,sowi,0.95
0000-0002-1049-2841,mint,1
0000-0002-1057-2809,sowi,1
0000-0002-1064-522X,sowi,0.95
0000-0002-1076-398X,med,1
0000-0002-1078-5767,mint,1
0000-0002-1082-8093,med,1
0000-0002-1090-3583,med,1
0000-0002-1091-8910,sowi,0.95
0000-0002-1092-1140,sowi,0.95
0000-0002-1094-350X,med,1
0000-0002-1099-2352,sowi,0.95
0000-0002-1104-0695,med,0.95
0000-0002-1110-7765,mint,0.95
0000-0002-1112-1276,mint,1
0000-0002-1133-1759,sowi,0.9
0000-0002-1133-9216,med,1
0000-0002-1134-4197,med,1
0000-0002-1149-2608,tech,0.95
0000-0002-1157-6916,mint,1
0000-0002-1167-3169,med,1
0000-0002-1167-9245,phil,0.85
0000-0002-1171-4717,sowi,0.95
0000-0002-1172-1757,mint,1
0000-0002-1181-5358,mint,1
0000-0002-1186-7182,mint,0.95
0000-0002-1191-0128,mint,1
0000-0002-1192-1716,mint,0.95
0000-0002-1201-208X,med,1
0000-0002-1205-3834,mint,1
0000-0002-1206-8913,med,1
0000-0002-1212-9587,med,1
0000-0002-1213-7261,phil,0.95
0000-0002-1219-0249,med,1
0000-0002-1227-8443,phil,0.95
0000-0002-1241-5225,sowi,0.95
0000-0002-1241-8733,med,1
0000-0002-1255-3636,sowi,0.95
0000-0002-1257-3645,mint,0.95
0000-0002-1265-0372,sowi,0.95
0000-0002-1268-3457,sowi,0.95
0000-0002-1269-5677,sowi,0.95
0000-0002-1270-6807,mint,0.95
0000-0002-1271-8365,agrar,1
0000-0002-1278-176X,sowi,1
0000-0002-1278-5939,med,1
0000-0002-1280-292X,mint,0.95
0000-0002-1280-6138,med,1
0000-0002-1290-9436,mint,0.95
0000-0002-1292-234X,agrar,1
0000-0002-1297-4086,mint,1
0000-0002-1299-2559,mint,1
0000-0002-1307-9841,mint,1
0000-0002-1314-6290,agrar,0.95
0000-0002-1314-9926,mint,1
0000-0002-1318-3243,sowi,0.95
0000-0002-1334-3542,sowi,0.95
0000-0002-1348-5129,sowi,1
0000-0002-1356-6690,sowi,0.95
0000-0002-1360-014X,sowi,0.85
0000-0002-1360-5776,mint,1
0000-0002-1361-5085,sowi,1
0000-0002-1362-1311,med,0.95
0000-0002-1373-456X,mint,1
0000-0002-1385-4908,sowi,0.95
0000-0002-1392-1816,sowi,0.95
0000-0002-1396-3303,med,1
0000-0002-1397-0474,NA,NA
0000-0002-1397-6294,phil,0.95
0000-0002-1399-7677,sowi,0.95
0000-0002-1399-9787,mint,0.95
0000-0002-1400-2790,sowi,1
0000-0002-1409-682X,med,1
0000-0002-1416-4837,mint,0.95
0000-0002-1416-9769,med,1
0000-0002-1419-5713,mint,0.95
0000-0002-1428-4062,med,1
0000-0002-1428-9736,med,1
0000-0002-1430-1109,sowi,1
0000-0002-1430-4676,med,1
0000-0002-1431-0486,sowi,0.95
0000-0002-1432-3447,mint,1
0000-0002-1432-9793,med,1
0000-0002-1453-0040,NA,NA
0000-0002-1467-9937,mint,1
0000-0002-1471-3330,mint,1
0000-0002-1479-2382,tech,0.95
0000-0002-1482-9165,mint,0.95
0000-0002-1483-4837,mint,1
0000-0002-1484-6117,mint,1
0000-0002-1485-415X,med,1
0000-0002-1489-2455,mint,1
0000-0002-1490-2713,med,0.95
0000-0002-1506-2744,med,1
0000-0002-1506-4299,mint,0.95
0000-0002-1507-1296,mint,1
0000-0002-1510-4350,mint,1
0000-0002-1516-3481,sowi,0.95
0000-0002-1523-3996,phil,1
0000-0002-1523-5270,mint,0.95
0000-0002-1525-042X,mint,0.95
0000-0002-1525-5546,mint,1
0000-0002-1535-1474,mint,1
0000-0002-1535-5109,med,1
0000-0002-1536-4494,mint,1
0000-0002-1543-7489,sowi,0.95
0000-0002-1544-8268,mint,1
0000-0002-1548-6547,mint,1
0000-0002-1548-7734,phil,0.95
0000-0002-1548-9991,mint,0.95
0000-0002-1549-8871,agrar,0.95
0000-0002-1562-3580,sowi,0.95
0000-0002-1568-5423,mint,0.95
0000-0002-1574-0138,mint,0.95
0000-0002-1583-5786,sowi,1
0000-0002-1585-0724,mint,0.95
0000-0002-1587-3678,mint,1
0000-0002-1591-0002,sowi,0.95
0000-0002-1593-2746,med,1
0000-0002-1593-571X,med,1
0000-0002-1594-398X,agrar,0.85
0000-0002-1594-7083,mint,1
0000-0002-1596-2267,sowi,0.95
0000-0002-1600-4183,agrar,1
0000-0002-1604-1689,mint,1
0000-0002-1604-5225,agrar,1
0000-0002-1612-1857,tech,0.95
0000-0002-1615-7315,mint,0.95
0000-0002-1630-045X,mint,1
0000-0002-1649-336X,agrar,1
0000-0002-1654-2272,mint,0.95
0000-0002-1656-7963,mint,1
0000-0002-1657-3677,med,1
0000-0002-1657-619X,mint,0.95
0000-0002-1657-7950,mint,1
0000-0002-1663-1216,sowi,0.95
0000-0002-1667-9260,mint,1
0000-0002-1672-9168,med,1
0000-0002-1678-6904,sowi,1
0000-0002-1679-8032,sowi,0.95
0000-0002-1708-2319,med,1
0000-0002-1713-9784,tech,1
0000-0002-1719-031X,med,1
0000-0002-1722-1606,med,0.95
0000-0002-1724-9692,mint,1
0000-0002-1739-446X,sowi,1
0000-0002-1743-3430,med,1
0000-0002-1747-8495,mint,0.95
0000-0002-1750-2205,sowi,0.95
0000-0002-1757-7768,med,1
0000-0002-1762-4704,mint,0.95
0000-0002-1779-1940,mint,0.95
0000-0002-1795-376X,mint,0.95
0000-0002-1796-6384,mint,1
0000-0002-1801-748X,mint,1
0000-0002-1802-5586,sowi,0.95
0000-0002-1803-6090,mint,0.95
0000-0002-1803-6736,sowi,0.95
0000-0002-1809-6376,med,0.95
0000-0002-1816-6389,agrar,1
0000-0002-1823-9891,mint,1
0000-0002-1851-9148,mint,0.95
0000-0002-1856-116X,mint,1
0000-0002-1858-4724,sowi,0.95
0000-0002-1860-4350,med,1
0000-0002-1861-4030,sowi,0.95
0000-0002-1863-4867,mint,1
